COPPos,ID,,,,,
-1121.789304,976.359788,-683.9570243,2047.658503,744.1965672,4662.169803,0
-1111.257649,957.6303542,-711.0560754,2055.415411,755.5913261,4650.646074,0
-1111.257649,957.6303542,-711.0560754,2055.415411,755.5913261,4650.646074,0
-1113.437821,961.5634327,-732.8967662,2094.405103,800.5507504,4621.732553,0
-1113.968259,961.8455878,-764.0263297,2115.572046,819.2315697,4613.364042,0
-1116.921422,967.6320017,-768.4777945,2119.631082,843.7492424,4607.564224,0
-1114.118277,962.3321497,-793.1223231,2139.234475,856.5185986,4581.193572,0
-1114.118277,962.3321497,-793.1223231,2139.234475,856.5185986,4581.193572,0
-1112.699413,959.6915149,-860.8622312,2192.978633,977.2552791,4579.220395,0
-1111.073047,957.1623747,-878.9949796,2207.106974,1009.539984,4523.998765,0
-1111.073047,957.1623747,-878.9949796,2207.106974,1009.539984,4523.998765,0
-1111.073047,957.1623747,-878.9949796,2207.106974,1009.539984,4523.998765,0
-1105.339727,969.9939545,-1056.358047,2222.550533,1017.833198,4394.936473,0
-1105.339727,969.9939545,-1056.358047,2222.550533,1017.833198,4394.936473,0
-1097.718244,956.5054817,-963.5077901,2287.05168,1133.143957,4341.656672,0
-1098.680387,958.8260806,-1138.748586,2416.723048,1135.994831,4325.208906,0
-1095.241893,952.1640307,-1363.828507,2583.273428,1149.441899,4245.272441,0
-1098.747177,957.0840167,-1407.752069,2668.046891,1163.933255,4200.35001,0
-1098.747177,957.0840167,-1407.752069,2668.046891,1163.933255,4200.35001,0
-1105.585089,969.8607337,-1421.735664,2690.152374,1065.174522,4376.431456,0
-1104.154485,967.2258884,-1443.915553,2729.1115,1073.887784,4313.394346,0
-1104.154485,967.2258884,-1443.915553,2729.1115,1073.887784,4313.394346,0
-1106.031287,970.7556681,-1462.366305,2741.093559,1103.737868,4223.579965,0
-1096.816599,979.1404106,-1472.430352,2747.629227,1151.653938,4104.927349,0
-1096.611342,978.1132915,-1304.54042,2586.609366,1198.712962,4016.982023,0
-1093.366855,972.4850535,-1483.233498,2765.955326,1327.535797,3940.383671,0
-1093.366855,972.4850535,-1483.233498,2765.955326,1327.535797,3940.383671,0
-1093.366855,972.4850535,-1483.233498,2765.955326,1327.535797,3940.383671,0
-1096.816599,979.1404106,-1290.621458,2709.5,1255.327036,3817.944974,0
-1096.663605,977.5147561,-1487.450456,2768.641824,1299.557291,3969.09357,0
-1090.483148,967.2287485,-1427.409509,2850.421,1266.740856,3771.93364,0
-1097.881096,980.8358617,-1460.582505,2922.259271,1261.873443,3740.372349,0
-1099.186533,982.399128,-1473.934529,2962.628339,1255.24032,3707.080741,0
-1097.949936,980.7980946,-1485.048917,2994.823712,1325.388475,3873.569206,0
-1097.949936,980.7980946,-1485.048917,2994.823712,1325.388475,3873.569206,0
-1112.475934,982.0401102,-1503.813303,3065.137156,1254.398609,3625.610003,0
-1111.307506,980.4001148,-1518.936782,3097.675572,1314.810029,3675.003765,0
-1108.490824,973.9690483,-1520.080265,3106.118477,1373.332108,3646.967677,0
-1109.430704,976.8703352,-1523.806327,3128.186,0,,
-1109.430704,976.8703352,-1523.806327,3128.186,0,,
-1109.430704,976.8703352,-1523.806327,3128.186,0,,
-1116.286765,965.7043366,-1552.320471,3186.030183,0,,
-1116.286765,965.7043366,-1552.320471,3186.030183,0,,
-1119.608664,970.725452,-1533.336705,3206.060269,0,,
-1122.965615,977.4292424,-1534.386429,3247.479901,0,,
-1122.965615,977.4292424,-1534.386429,3247.479901,0,,
-1121.581334,974.7700252,-1649.028596,3356.553628,0,,
-1115.317488,962.82213,-1675.123774,3451.87471,1189.36168,3096.865464,0
-1115.317488,962.82213,-1675.123774,3451.87471,1189.36168,3096.865464,0
-1115.317488,962.82213,-1675.123774,3451.87471,1189.36168,3096.865464,0
-1134.61513,948.018738,-1632.140619,3568.875373,1209.074607,3048.260161,0
-1134.61513,948.018738,-1632.140619,3568.875373,1209.074607,3048.260161,0
-1135.670241,951.4154257,-1625.432931,3641.968784,1161.303659,3100.969389,0
-1135.670241,951.4154257,-1625.432931,3641.968784,1161.303659,3100.969389,0
-1135.670241,951.4154257,-1625.432931,3641.968784,1161.303659,3100.969389,0
-1133.198197,946.5060464,-1636.732302,3687.514778,1099.138125,2827.050303,0
-1119.955786,921.2942042,-1635.939206,3710.213716,1249.256726,2739.323858,0
-1119.955786,921.2942042,-1635.939206,3710.213716,1249.256726,2739.323858,0
-1129.226152,938.998591,-1634.093821,3724.253837,1110.961951,2732.916238,0
-1129.226152,938.998591,-1634.093821,3724.253837,1110.961951,2732.916238,0
-1148.170022,924.6093989,-1637.799241,3776.738558,1083.274803,2614.31554,0
-1145.039074,918.9161348,-1639.13057,3784.582423,1074.393971,2600.682313,0
-1132.441691,895.0570101,-1655.372221,3831.981044,1060.258372,2573.125618,0
-1137.724419,906.3858574,-1645.853227,3884.858909,1052.01767,2543.843323,0
-1137.724419,906.3858574,-1645.853227,3884.858909,1052.01767,2543.843323,0
-1137.724419,906.3858574,-1645.853227,3884.858909,1052.01767,2543.843323,0
-1112.170693,886.4469088,-1691.30164,3955.285581,1031.081577,2483.021897,0
-1102.194511,867.4245387,-1577.018773,4051.948412,1018.055978,2453.08489,0
-1096.490075,885.1609107,-1705.159588,3975.637117,1004.89918,2440.207223,0
-1096.490075,885.1609107,-1705.159588,3975.637117,1004.89918,2440.207223,0
-1096.490075,885.1609107,-1705.159588,3975.637117,1004.89918,2440.207223,0
-1071.435178,866.9399603,-1711.591811,4014.788061,879.8325936,2315.872756,0
-1071.435178,866.9399603,-1711.591811,4014.788061,879.8325936,2315.872756,0
-1056.515343,863.4898077,-1707.433814,4030.582896,925.1900588,2186.543526,0
-1056.515343,863.4898077,-1707.433814,4030.582896,925.1900588,2186.543526,0
-1050.937672,879.1562726,-1706.099828,4056.117945,912.3311764,2157.998494,0
-1061.00498,896.9850118,-1680.333928,4095.236033,893.2307608,2132.864054,0
-1041.815093,912.1300221,-1487.53015,4285.369748,871.7012652,2092.093413,0
-935.8829091,796.401451,-1445.660707,4327.113669,855.2706832,2000.312261,0
-923.7201958,791.5210696,-1418.508904,4368.149649,846.5876882,1978.471773,0
-928.0916481,795.5981376,-1406.93866,4394.624016,859.3440113,2087.223266,0
-924.3112227,799.9733105,-1514.970166,4423.780841,853.8967729,2073.141329,0
-916.9018692,798.6255737,-1422.037726,4510.12746,837.0505071,2045.690181,0
-901.5919512,800.2025799,-1353.049102,4567.817217,846.1769615,2042.89952,0
-907.6208777,804.6637508,-1374.020478,4477.864313,838.8997329,1976.32392,0
-891.6608427,804.5960137,-1237.58092,4462.572629,813.0493515,1869.885492,0
-887.7005371,809.7088938,-1205.213798,4587.704656,766.6795641,1828.876031,0
-885.5761116,816.4215056,-1165.820032,4605.004758,742.6585421,1812.759018,0
-873.4307117,819.8498348,-1121.535611,4600.103027,704.1060301,1752.685002,0
-878.8163338,832.1933509,-1100.452156,4598.661153,700.9258433,1742.124289,0
-865.7163802,844.5645832,-1057.954276,4598.905589,653.1805889,1675.870524,0
-946.2691355,900.2119734,-1037.116821,4596.005651,649.7903121,1667.549605,0
-933.0229017,911.8952301,-1039.174103,4606.293189,642.506597,1647.893473,0
-909.0021134,913.7494357,-1020.245625,4615.088033,646.300721,1654.455648,0
-817.2791293,865.2556702,-1023.72763,4626.079162,637.9732752,1657.098734,0
-843.0117181,968.2891369,-981.5279809,4626.0131,618.485762,1627.195541,0
-837.2216082,968.658193,-943.0403102,4642.805917,611.1262222,1609.167608,0
-812.5816989,981.1759969,-945.8215818,4654.988372,607.5988595,1599.297445,0
-795.6211689,984.0417437,-927.6430175,4667.489758,607.952042,1598.653498,0
-798.9937733,987.7563342,-892.7952894,4593.033591,605.301855,1594.851823,0
-783.5232206,993.3208597,-846.1195449,4565.252536,593.4435516,1587.057415,0
-777.1039201,983.7729382,-803.9910626,4559.659896,583.9851739,1566.615828,0
-772.3437305,997.4151741,-784.6363183,4688.80175,571.4831868,1555.768385,0
-775.0909952,986.7392278,-684.9488112,4583.099511,557.0274129,1539.836964,0
-779.1373403,991.8261808,-700.8170196,4610.578529,548.1492566,1518.109246,0
-723.9831834,927.3479707,-645.4214425,4572.975079,539.0026734,1517.615892,0
-725.3728068,928.7937697,-603.5551494,4548.056794,536.6582867,1512.092863,0
-720.6574324,932.6533984,-582.3649561,4533.115977,536.4174713,1510.589835,0
-721.7663138,933.0529723,-581.3007275,4520.152703,538.1636643,1515.795261,0
-728.1296856,933.3241883,-581.297987,4522.672025,539.6356892,1517.39173,0
-724.2050237,937.1352558,-580.5185552,4515.214261,542.8885758,1508.714496,0
-730.8891635,937.0933875,-580.5438868,4514.20345,547.4886996,1519.261987,0
-742.2055194,951.6487522,-540.2397916,4509.641029,545.4463942,1514.160895,0
-746.3925925,957.953333,-539.5425457,4501.671471,540.4030215,1501.120567,0
-751.6687442,964.5721999,-516.0962128,4484.858044,542.0898877,1505.818879,0
-762.4554326,973.8210715,-493.0133779,4466.806674,543.8309519,1508.906544,0
-793.033169,997.8893707,-451.807065,4449.557622,544.6821578,1513.374492,0
-802.0562539,1008.532913,-431.0960211,4444.964744,544.7716477,1512.28157,0
-816.0230951,1031.776434,-437.5098392,4488.419947,543.9901854,1510.440561,0
-831.7053503,1057.461456,-359.6342821,4410.142646,542.3205451,1506.796856,0
-844.9580383,1081.231334,-264.4012247,4322.921812,545.2871606,1512.626878,0
-866.3777679,1106.897984,-245.3789589,4344.540458,544.0969012,1510.402246,0
-873.8347057,1125.053056,-225.5960284,4324.635511,543.7603681,1507.871094,0
-881.5004609,1145.229548,-186.6426998,4280.821324,542.7112763,1507.717361,0
-893.8488049,1160.297675,-186.9259933,4281.309127,540.6706511,1499.433291,0
-904.2851012,1172.429855,-168.0201535,4251.39847,544.0082514,1509.903678,0
-909.8606828,1191.250692,-149.2237142,4223.838717,542.3747431,1505.18621,0
-915.1316651,1188.874624,-114.5013109,4182.69376,544.8955893,1513.297862,0
-922.1036251,1198.003585,-114.6716046,4168.204209,539.4812318,1495.61717,0
-935.6656381,1216.551915,-95.58152387,4161.6059,545.8371253,1515.0814,0
-943.7098975,1228.002559,-94.70964104,4143.641374,545.9799731,1513.969321,0
-945.3391889,1229.27328,-95.79525356,4157.105349,545.8018334,1514.563675,0
-951.4574224,1236.899807,-59.51905844,4134.308012,545.091795,1512.166626,0
-953.9561284,1239.389649,-60.03349348,4155.278891,539.9236406,1499.701495,0
-970.9180262,1253.246052,-59.1003668,4135.312427,540.9899583,1500.909836,0
-997.9053642,1292.328325,-21.2128085,4105.778636,541.8781363,1502.71253,0
-1007.351502,1305.461637,34.98132826,4057.95816,543.8834696,1510.478876,0
-1109.163324,1445.489786,34.4316067,4072.958388,538.6808634,1495.904531,0
-1092.118004,1423.275892,-44.75694299,4045.095782,544.2389089,1510.881656,0
-1104.901994,1439.936313,106.1737023,4054.61011,541.0252502,1501.42756,0
-1047.174779,1374.568289,101.8545059,3889.666651,544.5401501,1512.895082,0
-1048.703668,1419.294331,110.9812663,3895.762488,540.244628,1497.995062,0
-1055.680199,1444.522235,110.0389799,3868.778936,547.3458518,1520.374066,0
-1068.867205,1461.456273,128.6817795,3854.672033,542.8549642,1505.013793,0
-1066.567589,1490.6886,143.7841916,3832.061893,543.4402207,1507.986039,0
-1074.202093,1501.166752,132.3270895,3821.093089,542.9961317,1507.084692,0
-1073.606368,1518.584116,151.2906195,3799.029949,540.9538263,1501.9836,0
-1095.870655,1552.29704,170.0074828,3779.346608,547.8622048,1519.127884,0
-1090.149597,1575.15634,166.0984106,3758.209385,545.3766505,1511.533956,0
-1097.968828,1602.836582,176.3480454,3744.158545,544.5943481,1511.284436,0
-1096.078158,1612.187987,179.2442369,3736.065646,545.9077091,1516.116849,0
-1106.211944,1624.577883,186.5784515,3715.711905,543.9721194,1510.977443,0
-1115.582618,1652.146941,191.9374868,3716.949136,543.7061701,1509.481741,0
-1169.007826,1661.58821,201.1956949,3693.017435,543.6355863,1508.446291,0
