COPPos,ID,
-2179.1863655503,-3658.74478782655,1,
-2234.2477508598,-3635.97508722658,1,
-2286.23376566834,-3610.67444520186,1,
-2310.68473640199,-3597.02520204217,1,
-2313.58251388086,-3597.80165917747,1,
-2325.37862539065,-3580.49052547824,1,
-2335.06010179443,-3582.99432551879,1,
-2371.8963688901,-3550.98755461489,1,
-2382.59243801448,-3553.5554536173,1,
-2399.13718460086,-3578.5009063073,1,
-2383.56480793487,-3553.78889898116,1,
-2369.95162904931,-3550.52066388718,1,
-2238.90720297981,-3592.98632597939,1,
-2189.83795573771,-3545.43732491062,1,
-2192.46419490407,-3526.97154254457,1,
-2232.61711867007,-3459.72374816743,1,
-2454.95754694984,-3485.83080879405,1,
-2387.22277227167,-3533.89112709693,1,
-2343.93748623119,-3330.08820752659,1,
-2356.78557976421,-3304.04153789027,1,
-2352.95528566496,-3256.96258538972,1,
-2343.00576500964,-3225.39435577085,1,
-2382.89466471242,-3512.23918603215,1,
-2406.72739160069,-3496.73202913299,1,-2418.0545807716,-2650.98364972275,2,
-2393.63392079074,-3514.62002178546,1,
-2409.66183440289,-3497.35576420544,1,
-2394.01147279115,-3494.02917715236,1,
-2393.22229055873,-3473.27062892577,1,
-2390.28251644487,-3472.67252512252,1,
-2404.0230019752,-3454.85226058758,1,
-2425.48977164056,-3438.28491726406,1,
-2421.71123906331,-3396.36997709937,1,
-2419.73866786023,-3396.03988188765,1,
-2444.23440023732,-3154.57890239314,3,
-2445.55607229385,-3013.12943629088,3,
-2427.20638037293,-2973.05871111088,3,
-2404.39077639258,-2913.89533003474,3,
-2203.54430603707,-2703.46871997435,3,
-2202.73852252186,-2685.08636310152,3,
-2206.68927588424,-2684.46062524136,3,
-2267.77434036432,-2563.6707002118,3,
-2270.89436538426,-2552.25142304054,3,
-2249.81986484617,-2508.67244526563,3,
-2238.09188249265,-2501.38363782401,3,
-2229.44693232305,-2494.45060038364,3,
-2230.88910014855,-2494.05507849471,3,
-2228.08373393407,-2485.83773425134,3,
-2294.70029523011,-2475.36892551058,3,
-2231.55282869994,-2290.04256524153,3,
-2230.60731012434,-2290.36813339599,3,
-2241.00801445593,-2286.78688369696,3,
-2219.50697506303,-2273.74724308808,3,
-2202.63964578853,-2348.91982499901,3,
-2124.82449935765,-2384.65431532695,3,
-2104.85333956963,-2333.66869793879,3,
-2084.51758687676,-2282.94704636489,3,
-2118.2152198799,-2250.52243965848,3,
-2054.17612693403,-2241.34667441914,3,
-1989.94328978681,-2234.89445346059,3,
-1949.51143897328,-2217.75700712078,3,
-1916.49332478314,-2225.78754563437,3,
-1905.57560609049,-2230.70561929864,3,
-1912.49319831708,-2227.84053557614,3,
-1903.86343550116,-2231.76382660574,3,
-1888.52608052788,-2229.10373022684,3,
-1890.66002496151,-2220.50012025038,3,
-1849.89253849058,-2210.56961469238,3,
-1840.43039064828,-2204.5706306692,3,
-1841.79158003436,-2203.94554242671,3,
-1838.05752387797,-2195.07919210413,3,
-1782.52012224999,-2179.73537649331,3,
-1766.51965565731,-2177.45712035594,3,
-1575.553208781,-2212.70875326418,3,
-1571.99474907439,-2198.16844431964,3,
-1539.45812045531,-2183.81175121309,3,
-1577.47807624056,-2109.61709077327,3,
-1468.05798629485,-2130.75101307022,3,
-1414.33674509118,-2131.29547506506,3,
-1381.4828816163,-2124.58547778994,3,
-1317.56246633611,-2139.46654256413,3,
-1300.8743713404,-2139.45953502534,3,
-1242.35006011512,-2145.6819358808,3,
-1226.84314889844,-2150.57668318773,3,
-1217.48479409491,-2149.34217044406,3,
-1210.91294290551,-2153.04613090733,3,
-1185.16009343291,-2151.64483706913,3,
-1184.34099267652,-2146.52519421372,3,
-1137.72316228663,-2159.27379278889,3,
-1101.98404024515,-2154.0446162855,3,
-1086.05085204829,-2158.78848937612,3,
-1070.84728330794,-2144.69291547149,3,
-1035.93824766407,-2159.16847925389,3,
-953.543298818018,-2162.37587534451,3,
-919.310019430091,-2166.16767917498,3,
-765.344655444782,-2257.80961537557,3,
-716.434473853229,-2264.51922036449,3,
-725.072959929162,-2196.34567195229,3,
-683.430655104142,-2195.1762301175,3,
-645.833402953979,-2191.47452573771,3,
-624.227162005792,-2193.43924205345,3,
-593.013597790624,-2195.98035460327,3,
-581.065904386167,-2196.86501423708,3,
-545.292050817734,-2203.95077291374,3,
-538.044881266838,-2191.38452124873,3,
-510.317873046525,-2203.63338595898,3,
-497.543944068583,-2201.70283475975,3,
-480.207685774916,-2197.20300619614,3,
-468.742867549226,-2205.63796129804,3,
-441.851696235637,-2208.9617557453,3,
-434.105027686859,-2201.94633219303,3,
-397.205275039473,-2205.42797215338,3,
-343.684916540118,-2094.2984651984,3,
-247.317576423625,-2282.24006425048,3,
-225.273878307851,-2301.27202582448,3,
-187.811243930719,-2298.33970800423,3,
-157.699599952865,-2213.79575331447,3,
-112.360916288704,-2221.69293899076,3,
-72.7712984495241,-2218.36178702757,3,
-50.7997184675414,-2228.21326318688,3,
-1.20551425268614,-2242.47150663059,3,
10.0237415153224,-2239.36012544519,3,
27.9610559774966,-2242.20742328207,3,
31.9891096888632,-2234.27207044911,3,
37.820283010902,-2227.90391384215,3,
43.9783939345526,-2241.68069304851,3,
79.5421078094722,-2227.94828408951,3,
89.535425154477,-2236.9657061691,3,
112.80351585584,-2238.29993247436,3,
138.344205926193,-2228.84169747976,3,
138.344205926193,-2228.84169747976,3,
110.992202776728,-2308.71809746939,3,
136.702781750898,-2295.63853932661,3,
198.539748860512,-2288.80026467315,3,
240.613309973583,-2298.19870474923,3,
357.327041524246,-2227.12547328248,3,
378.101610213275,-2232.4831941588,3,
452.12140359638,-2218.05345084759,3,
472.459411962149,-2217.92457629136,3,
522.001607978246,-2206.81411421257,3,
551.133244242887,-2197.22258602468,3,
561.941838039942,-2193.03871299242,3,
575.572737621673,-2181.62873601182,3,
583.271236877587,-2178.1468537956,3,
591.006289744679,-2177.30771395824,3,
613.495507562366,-2174.32267694909,3,
618.571949322486,-2175.21404243084,3,
644.367902402633,-2176.02548532413,3,
676.070667548933,-2161.44069687323,3,
675.928530273707,-2162.66528732933,3,
693.548686881847,-2161.28946300849,3,
702.054159290624,-2159.07972420449,3,
772.890317261982,-2139.57025111697,3,
801.851911198652,-2133.70477002546,3,
855.567567706051,-2139.79621274254,3,
851.830510736418,-2158.28452151625,3,
860.471481545223,-2180.71948174681,3,
861.524766526142,-2194.4967667934,3,
863.839640276305,-2192.58853213257,3,
878.500507360671,-2180.50304594729,3,
870.784261526794,-2186.86382815006,3,
883.39655336895,-2191.23700557979,3,
885.727991253321,-2189.34904440664,3,
899.138870280775,-2193.27765983914,3,
919.486682358938,-2177.09227928656,3,
918.704074202086,-2177.7147939232,3,
934.622477336041,-2180.13946017526,3,
957.474789190636,-2162.28527739082,3,
964.858243988633,-2171.82114140083,3,
1020.37080897062,-2160.74838287621,3,
1012.33224036445,-2166.69661074372,3,
1055.27185845419,-2150.84847117782,3,
1174.43449963324,-1994.54657082384,3,
1208.78942539686,-1977.25586741684,3,
1240.46216393199,-1974.25786248089,3,
1355.579119848,-1912.7072808009,3,
1443.19951765527,-1847.871597045,3,
1406.60731133574,-1887.51643934207,3,
1455.81897336351,-1854.08615725265,3,
1489.27892151273,-1831.28054032916,3,
1500.72724657567,-1812.53192499303,3,
1529.15578841802,-1780.71597951305,3,
1561.79396658356,-1757.601638358,3,
1571.64206305874,-1750.74319022194,3,
1600.18448100283,-1730.49673124865,3,
1607.72889015524,-1724.72965680145,3,
1627.29717949958,-1710.84147682831,3,
1654.3592405144,-1700.77215917319,3,
1375.1204886022,-1835.98469546822,3,
1398.82252112794,-1838.82863973306,3,
1419.44970797551,-1823.00084257883,3,
1476.09720943135,-1801.67579468581,3,
1490.4726486122,-1790.84312426907,3,
1542.87776837181,-1774.11357148784,3,
1602.97636364603,-1752.91785537582,3,
1630.48294145478,-1732.93315679787,3,
1664.26015432501,-1684.29533068838,3,
1698.91651673454,-1633.76940322639,3,
1736.45238570676,-1605.48409713824,3,
1782.77324528951,-1570.57882579542,3,
1797.94731998041,-1559.14434035553,3,
1833.58015160754,-1505.22737663628,3,
1890.7015921085,-1461.39655374765,3,
1873.56736300978,-1448.03356349406,3,
1880.78253809481,-1457.01878461287,3,
1883.63071487105,-1439.80580206398,3,
1961.4004892856,-1377.93255782593,3,
1873.93129563525,-1446.27098158708,3,
1836.70344218997,-1447.50512514727,3,
1869.99124186722,-1449.34928896371,3,
1834.35561771941,-1449.37266905718,3,
1808.9773934642,-1441.71641983944,3,
1834.62321019228,-1420.94884693479,3,
1829.18318846208,-1425.35408967214,3,
1812.08597731003,-1439.19913827524,3,
1821.41172884751,-1431.64729358264,3,
1815.97170711732,-1436.05253631999,3,
1793.51361326414,-1397.80417314861,3,
1831.05172491983,-1336.90402355068,3,
1786.51952864678,-1316.15949281038,3,
1776.78310427652,-1324.77355343718,3,
1668.0970022807,-1340.18548311385,3,
1635.77404355261,-1343.23366107363,3,
1586.42851224814,-1321.96534313336,3,
1498.92306539678,-1298.78665579385,3,
1485.05164097472,-1298.86745382222,3,
1472.60573387922,-1297.66973768964,3,
1454.75812089089,-1287.88588802826,3,
1467.35855798101,-1271.82874585942,3,
1412.71138256475,-1270.68017975667,3,
1397.39235180286,-1270.06504938278,3,
1375.98942111827,-1276.14112462609,3,
1364.53506150677,-1275.20201894369,3,
1360.05883772769,-1262.70446144658,3,
1315.52680736955,-1262.87607091127,3,
1254.71862691857,-1272.61192915088,3,
1233.46016901356,-1264.17546770219,3,
1178.10814627921,-1256.67025568669,3,
1204.47980616694,-1174.23380807662,3,
1007.28414992257,-1259.469278717,3,
957.428015705382,-1270.39059868942,3,
975.040398036089,-1196.81783678753,3,
902.548374631088,-1180.55658907495,3,
866.978381255456,-1193.51057759764,3,
821.177071102547,-1170.2238758125,3,
773.046624044928,-1155.08940636876,3,
759.41485711874,-1161.86913603887,3,
736.336892513925,-1165.18916216502,3,
726.763300322072,-1166.60119382091,3,
699.416901995552,-1160.79113021666,3,
683.772039819614,-1151.68762303327,3,
642.343752034288,-1155.92212026518,3,
642.763512314933,-1158.77625012855,3,
578.805374940849,-1141.64445696288,3,
492.334127806672,-1111.06932441988,3,
469.870918554837,-1120.0923469492,3,
348.42239547851,-1157.19040968605,3,
319.460370675755,-1134.51075008257,3,
223.579481451374,-1081.29539601141,3,
179.167638932288,-1078.16837784116,3,
124.888090522027,-1087.23675578879,3,
90.3550135200621,-1083.99069053029,3,
48.6396764642289,-1086.54702385438,3,
-3.00420873064533,-1102.70835979269,3,
-10.3806661601756,-1113.88864987143,3,
-38.3627504543802,-1112.04039240169,3,
-80.5413926128845,-1103.76962928825,3,
-96.6869349144454,-1106.01940950231,3,
-122.895158792061,-1105.95496632129,3,
-169.688705906558,-1104.0221371155,3,
-195.797985602574,-1109.72660029841,3,
-244.02574631201,-1100.54044983058,3,
-291.922638949545,-1180.13119180207,3,
-341.774440260857,-1168.06650029946,3,
-445.641666246724,-1136.22793656553,3,
-497.445307678734,-1115.80360899558,3,
-534.016427454922,-1109.64162826709,3,
-624.218263031258,-1114.23031106367,3,
-653.168924906504,-1106.1128771279,3,
-680.617774944433,-1108.67445652569,3,
