COPPos,ID,
-3183.27335004857,-4613.41362913032,1,
-3178.83545951309,-4579.70450384361,1,
-3221.29796065194,-4570.8979849741,1,
-3266.61227384141,-4581.50532478969,1,
-3257.89151858476,-4523.15338885134,1,
-3257.89151858476,-4523.15338885134,1,
-3301.68294368691,-4525.51913704074,1,
-3296.05130294546,-4489.96235677932,1,
-3292.76617917962,-4469.22090162682,1,
-3292.76617917962,-4469.22090162682,1,
-3378.26458659781,-4465.05203997841,1,
-3378.26458659781,-4465.05203997841,1,
-3378.61188295314,-4467.02165548443,1,
-3376.00716028813,-4452.24953918925,1,
-3417.58519723667,-4443.71479686683,1,
-3407.7444788601,-4390.61903185837,1,
-3454.30837393482,-4410.27849544378,1,
-3447.82086809202,-4376.90317120656,1,
-3446.48520512439,-4370.03178092243,1,
-3444.767924166,-4361.1971362714,1,
-3439.99769928158,-4336.65645668521,1,
-3438.28041832319,-4327.82181203418,1,
-3440.37931727234,-4338.6197110521,1,
-3440.37931727234,-4338.6197110521,1,
-3436.37232836943,-4318.0055401997,1,
-3475.56324175928,-4303.07291267051,1,
-3476.75944936578,-4308.95246089823,1,
-3473.56956241511,-4293.2736656243,1,
-3473.76893034953,-4294.25359032892,1,
-3473.76893034953,-4294.25359032892,1,
-3473.76893034953,-4294.25359032892,1,
-3416.21704409725,-4450.84181715064,1,
-3411.06702305899,-4422.81536916674,1,
-3388.15722966834,-4422.50807701936,1,
-3388.15722966834,-4422.50807701936,1,
-3516.43375169758,-4296.61462096692,2,
-3389.95301463333,-4442.39110726643,2,
-3384.27772571614,-4410.40568151528,2,
-3380.03178476834,-4389.84284537461,2,
-3272.96807851998,-4624.03300691425,2,
-3376.40713260491,-4373.23063855608,2,
-3376.40713260491,-4373.23063855608,2,
-3269.12503383061,-4598.31859446684,2,
-3269.27284324174,-4599.30761033021,2,
-3227.0040577913,-4611.49897579251,2,
-3223.94224957018,-4589.71307828019,2,
-3223.94224957018,-4589.71307828019,2,
-3219.48871033946,-4558.02450008046,2,
-3216.00938281545,-4533.26779836192,2,
-3210.16411257513,-4491.67653947478,2,
-3149.20601387914,-4354.64652031175,2,
-3145.42075430476,-4325.89461933191,2,
-3049.80038492333,-4211.7013915783,2,
-3047.98913350304,-4195.80424188747,2,
-3246.95362216117,-4449.96621496256,3,
-3122.46111971964,-4280.36485605426,3,
-3120.70373788263,-4266.98285872283,3,
-2999.53000234314,-4115.60396185464,3,
-2998.48471771046,-4105.65874290096,3,
-2959.50735729665,-4107.57346200033,4,
-2997.85754693085,-4099.69161152875,4,
-2999.11188849007,-4111.62587427317,4,
-2999.0073600268,-4110.6313523778,4,
-2998.90283156353,-4109.63683048243,4,
-2997.75301846759,-4098.69708963338,4,
-3045.23535474655,-3846.71146545905,4,
-2989.59979833271,-4021.12438179465,4,
-2976.32468349772,-3894.82010108288,4,
-2969.94844723839,-3834.15426546542,4,
-2967.85787797304,-3814.26382755805,4,
-2968.48504875264,-3820.23095893026,4,
-2978.83336661614,-3918.68862657172,4,
-2979.35600893248,-3923.66123604856,4,
-2979.35600893248,-3923.66123604856,4,
-2936.88775970188,-3872.65995918568,4,
-2927.4948759549,-3775.1111317457,4,
-2922.60674257637,-3724.34592562897,4,
-2922.99012558645,-3728.32751042244,4,
-2922.99012558645,-3728.32751042244,4,
-2975.90656964465,-3890.84201350141,4,
-2975.90656964465,-3890.84201350141,4,
-2975.48845579158,-3886.86392591994,4,
-3018.66783788423,-3630.33640440124,5,
-3083.79493690339,-3592.51313305743,6,
-2838.56651387691,-3564.06696318861,6,
-3215.55624412389,-3542.28717540597,7,
-3215.55624412389,-3542.28717540597,7,
-3261.25644306992,-3593.18511393238,8,
-3364.49820836414,-3612.31984410906,9,-3340.78448382876,-4498.88774062793,10,
-3087.19489145283,-3571.1683187453,9,-3297.30277866578,-4497.86386350408,10,
-3306.48616881786,-3601.56794810502,9,-3292.92261364466,-4470.20858996741,10,
-3128.44977158909,-3530.02978166476,9,-3242.66714923841,-4421.28475492506,10,
-3129.70535182689,-3535.39234487116,9,-3235.42448809306,-4372.82297762033,10,
-3163.03392191033,-3814.27566564437,9,
-3169.95070018917,-3781.1389832531,9,
-3395.15013190688,-3558.55050469942,9,
-3183.07377248498,-3543.92039495673,9,
-3183.07377248498,-3543.92039495673,9,
-3397.09808843233,-3567.33716876349,9,
-3273.13760645963,-3783.71903187516,9,
-3170.95021618763,-4038.91604933023,9,
-3095.38605146116,-3849.83266137873,9,
-3190.76874817773,-3856.94105054731,9,
-3177.88984140168,-3902.69103777758,9,
-3181.33123357816,-3903.3288621168,9,
-3181.86535977009,-3894.65151834673,9,
-3179.4807361019,-3890.30895971427,9,
-3178.26717489872,-3892.52191116445,9,
-3175.31741017603,-3891.97520458798,9,
-3180.59953433528,-3896.36720884923,9,
-3164.77896587655,-3928.89544483843,9,
-3159.86269133873,-3927.98426721097,9,
-3179.78111923398,-3929.85815437472,9,
-3186.24578973386,-3927.15571547169,9,
-3193.94815991032,-3846.83181999959,9,
-3192.47327754897,-3846.55846671135,9,
-3192.24687112144,-3844.57132299999,9,
